行 ID,订单ID,产品id,客户 ID,发货日期,国家,地区,城市,子类别,客户名称,省/自治区,类别,细分,订单日期,销售经理,利润,折扣,数量,是否退回,计划发货天数,销售额,实际发货时间,利润异常值标记,是否超时,销售额异常值标记
1,4870971,秋装—秋衣—2874,邢宁-18715,2024-1-3,中国,中南,常德,秋衣,邢宁,湖南,秋装,公司,2024-1-1,王倩倩,610.68,0,3,1,3,1607.34,2,0,-1,0
2,4870971,冬装—围巾—1047,邢宁-18715,2024-1-3,中国,中南,常德,围巾,邢宁,湖南,冬装,公司,2024-1-1,王倩倩,1321.6,0,5,1,3,3304.7,2,1,-1,0
3,4479160,冬装—羽绒服—0928,康青-19585,2024-1-3,中国,中南,广州,羽绒服,康青,广东,冬装,消费者,2024-1-1,王倩倩,2.8,0,2,0,1,286.72,2,0,1,0
4,3231478,夏装—长裙—2425,谭珊-19900,2024-1-3,中国,华北,天津,长裙,谭珊,天津,夏装,消费者,2024-1-1,张怡莲,118.44,0,2,0,3,456.12,2,0,-1,0
5,3231478,夏装—长裙—2425,谭珊-19900,2024-1-3,中国,华北,天津,长裙,谭珊,天津,夏装,消费者,2024-1-1,张怡莲,194.6,0,5,0,3,591.5,2,0,-1,0
6,4479160,冬装—手套—0574,康青-19585,2024-1-3,中国,中南,广州,手套,康青,广东,冬装,消费者,2024-1-1,王倩倩,128.016,0.2,4,0,1,366.016,2,0,1,0
7,5835259,冬装—毛衣—0979,陈娟-15100,2024-1-6,中国,东北,德惠,毛衣,陈娟,吉林,冬装,消费者,2024-1-1,郝杰,497.56,0,2,0,6,2619.4,5,0,-1,0
8,5835259,秋装—秋衣—2874,陈娟-15100,2024-1-6,中国,东北,德惠,秋衣,陈娟,吉林,秋装,消费者,2024-1-1,郝杰,506.66,0,7,0,6,2415.7,5,0,-1,0
9,4950934,秋装—秋衣—2874,彭雯-21790,2024-1-6,中国,东北,齐齐哈尔,秋衣,彭雯,黑龙江,秋装,消费者,2024-1-1,郝杰,16.8,0,3,0,6,427.14,5,0,-1,0
10,1230612,夏装—短袖—1460,肖良-17125,2024-1-8,中国,中南,浯溪,短袖,肖良,湖南,夏装,消费者,2024-1-1,王倩倩,49.434,0.1,3,0,6,745.794,7,0,1,0
11,1230612,冬装—保暖内衣—1614,肖良-17125,2024-1-8,中国,中南,浯溪,保暖内衣,肖良,湖南,冬装,消费者,2024-1-1,王倩倩,259.56,0,6,0,6,741.72,7,0,1,0
12,1510100,冬装—棉袜—4429,程安-10105,2024-1-2,中国,东北,九台,棉袜,程安,吉林,冬装,消费者,2024-1-2,郝杰,112.7,0,7,0,0,751.66,0,0,0,0
13,1510100,冬装—帽子—1898,程安-10105,2024-1-2,中国,东北,九台,帽子,程安,吉林,冬装,消费者,2024-1-2,郝杰,39.9,0,3,0,0,182.28,0,0,0,0
14,1267778,冬装—冲锋衣—0344,袁康-15475,2024-1-8,中国,华东,龙口,冲锋衣,袁康,山东,冬装,消费者,2024-1-2,杨洪光,13.02,0,1,0,6,52.22,6,0,0,0
15,1267778,冬装—棉袜—4429,袁康-15475,2024-1-8,中国,华东,龙口,棉袜,袁康,山东,冬装,消费者,2024-1-2,杨洪光,15.96,0,2,0,6,108.08,6,0,0,0
